EmployeeID,FirstName,MiddleName,LastName,Shift,Department,GroupName,EffectiveDate
28,Guy,R,Gilbert,Day,Production,Manufacturing,12/30/2008
17,Kevin,F,Brown,Day,Marketing,Sales and Marketing,7/26/2009
3,Roberto,NULL,Tamburello,Day,Engineering,Research and Development,5/11/2010
4,Rob,NULL,Walters,Day,Engineering,Research and Development,6/5/2010
12,Thierry,B,D'Hers,Day,Tool Design,Research and Development,6/11/2010
16,David,M,Bradley,Day,Purchasing,Inventory Management,6/20/2010
40,JoLynn,M,Dobney,Night,Production,Manufacturing,6/26/2010
5,Gail,A,Erickson,Day,Engineering,Research and Development,7/6/2010
48,Ruth,Ann,Ellerbrock,Day,Production,Manufacturing,7/6/2010
49,Barry,K,Johnson,Day,Production,Manufacturing,7/7/2010
6,Jossef,H,Goldberg,Day,Engineering,Research and Development,7/24/2010
2,Terri,Lee,Duffy,Day,Engineering,Research and Development,7/31/2010
50,Sidney,M,Higa,Day,Production,Manufacturing,8/2/2010
55,Taylor,R,Maxwell,Night,Production,Manufacturing,8/8/2010
51,Jeffrey,L,Ford,Day,Production,Manufacturing,8/20/2010
27,Jo,A,Brown,Day,Production,Manufacturing,8/27/2010
52,Doris,M,Hartwig,Day,Production,Manufacturing,9/10/2010
62,John,T,Campbell,Evening,Production,Manufacturing,9/17/2010
53,Diane,R,Glimp,Day,Production,Manufacturing,9/28/2010
26,Peter,J,Krebs,Day,Production Control,Manufacturing,6/1/2011
72,Steven,T,Selikoff,Night,Production,Manufacturing,6/1/2011
167,David,N,Johnson,Day,Production,Manufacturing,6/2/2011
206,Stuart,V,Munson,Night,Production,Manufacturing,6/2/2011
207,Greg,F,Alderson,Night,Production,Manufacturing,6/2/2011
102,Zheng,W,Mu,Evening,Production,Manufacturing,6/3/2011
128,Paul,B,Komosinski,Night,Production,Manufacturing,6/4/2011
135,Ivo,William,Salmre,Day,Production,Manufacturing,6/4/2011
265,Ashvini,R,Sharma,Evening,Information Services,Executive General and Administration,6/4/2011
58,Kendall,C,Keil,Night,Production,Manufacturing,6/5/2011
193,Alejandro,E,McGuel,Day,Production,Manufacturing,6/6/2011
235,Paula,M,Barreto de Mattos,Day,Human Resources,Executive General and Administration,6/6/2011
109,Alice,O,Ciccu,Day,Production,Manufacturing,6/7/2011
122,Susan,W,Eaton,Evening,Shipping and Receiving,Inventory Management,6/7/2011
123,Vamsi,N,Kuppa,Evening,Shipping and Receiving,Inventory Management,6/7/2011
146,Jian Shuo,NULL,Wang,Evening,Production,Manufacturing,6/7/2011
168,Garrett,R,Young,Day,Production,Manufacturing,6/7/2011
44,Simon,D,Rapier,Night,Production,Manufacturing,6/8/2011
108,Jinghao,K,Liu,Day,Production,Manufacturing,6/8/2011
181,Michael,T,Hines,Night,Production,Manufacturing,6/9/2011
187,Yvonne,S,McKay,Evening,Production,Manufacturing,6/9/2011
212,Peng,J,Wu,Day,Quality Assurance,Quality Assurance,6/9/2011
263,Jean,E,Trenary,Day,Information Services,Executive General and Administration,6/11/2011
22,Sariya,E,Harnpadoungsataya,Day,Marketing,Sales and Marketing,6/12/2011
94,Russell,NULL,Hunter,Evening,Production,Manufacturing,6/12/2011
194,Fred,T,Northup,Day,Production,Manufacturing,6/12/2011
222,A. Scott,NULL,Wright,Day,Production Control,Manufacturing,6/12/2011
240,Willis,T,Johnson,Day,Human Resources,Executive General and Administration,6/13/2011
110,Jun,T,Cao,Day,Production,Manufacturing,6/14/2011
169,Susan,A,Metters,Day,Production,Manufacturing,6/14/2011
228,Christian,E,Kleinerman,Day,Facilities and Maintenance,Executive General and Administration,6/14/2011
70,David,J,Ortiz,Evening,Production,Manufacturing,6/15/2011
78,Reuben,H,D'sa,Evening,Production,Manufacturing,6/15/2011
161,Kirk,J,Koenigsbauer,Day,Production,Manufacturing,6/15/2011
153,Hanying,P,Feng,Evening,Production,Manufacturing,6/16/2011
218,Tengiz,N,Kharatishvili,Night,Document Control,Quality Assurance,6/16/2011
33,Annik,O,Stahl,Day,Production,Manufacturing,6/17/2011
111,Suroor,R,Fatima,Day,Production,Manufacturing,6/17/2011
195,Kevin,H,Liu,Day,Production,Manufacturing,6/17/2011
242,Deborah,E,Poe,Day,Finance,Executive General and Administration,6/18/2011
73,Carole,M,Poland,Night,Production,Manufacturing,6/19/2011
95,Jim,H,Scardelis,Evening,Production,Manufacturing,6/19/2011
170,George,Z,Li,Day,Production,Manufacturing,6/21/2011
87,Cristian,K,Petculescu,Night,Production,Manufacturing,6/22/2011
129,Gary,W,Yukish,Night,Production,Manufacturing,6/22/2011
154,Raymond,K,Sam,Evening,Production,Manufacturing,6/23/2011
272,Janaina,Barreiro Gambaro,Bueno,Day,Information Services,Executive General and Administration,6/23/2011
59,Bob,N,Hohman,Night,Production,Manufacturing,6/24/2011
196,Shammi,G,Mohamed,Day,Production,Manufacturing,6/24/2011
113,Linda,K,Moschell,Day,Production,Manufacturing,6/25/2011
239,Mindy,C,Martin,Day,Human Resources,Executive General and Administration,6/25/2011
249,Wendy,Beth,Kahn,Day,Finance,Executive General and Administration,6/25/2011
124,Kim,T,Ralls,Night,Shipping and Receiving,Inventory Management,6/26/2011
147,Sandra,NULL,Reátegui Alayo,Evening,Production,Manufacturing,6/26/2011
42,James,D,Kramer,Night,Production,Manufacturing,6/27/2011
93,Kok-Ho,T,Loh,Evening,Production,Manufacturing,6/27/2011
188,Douglas,B,Hite,Evening,Production,Manufacturing,6/27/2011
182,Nitin,S,Mirchandani,Night,Production,Manufacturing,6/28/2011
216,Sean,P,Alexander,Day,Quality Assurance,Quality Assurance,6/28/2011
8,Diane,L,Margheim,Day,Research and Development,Research and Development,6/29/2011
32,Rebecca,A,Laszlo,Day,Production,Manufacturing,6/29/2011
197,Rajesh,M,Patel,Day,Production,Manufacturing,6/30/2011
112,John,P,Evans,Day,Production,Manufacturing,7/1/2011
238,Vidur,X,Luthra,Day,Human Resources,Executive General and Administration,7/1/2011
43,Nancy,A,Anderson,Night,Production,Manufacturing,7/2/2011
121,Pilar,G,Ackerman,Day,Shipping and Receiving,Inventory Management,7/2/2011
171,David,A,Yalovsky,Day,Production,Manufacturing,7/2/2011
127,David,P,Hamilton,Night,Production,Manufacturing,7/3/2011
162,Laura,C,Steele,Day,Production,Manufacturing,7/3/2011
31,Margie,W,Shoop,Day,Production,Manufacturing,7/4/2011
155,Fadi,K,Fakhouri,Evening,Production,Manufacturing,7/4/2011
198,Lorraine,O,Nay,Day,Production,Manufacturing,7/4/2011
217,Zainal,T,Arifin,Day,Document Control,Quality Assurance,7/4/2011
86,Ryan,L,Cornelsen,Evening,Production,Manufacturing,7/5/2011
99,Nuan,NULL,Yu,Evening,Production,Manufacturing,7/6/2011
