BusinessEntityID,NationalIDNumber,LoginID,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate
1,295847284,adventure-works\ken0,Chief Executive Officer,1969-01-29,S,M,2009-01-14,1,99,69,1,2014-06-30 00:00:00.000
2,245797967,adventure-works\terri0,Vice President of Engineering,1971-08-01,S,F,2008-01-31,1,1,20,1,2014-06-30 00:00:00.000
3,509647174,adventure-works\roberto0,Engineering Manager,1974-11-12,M,M,2007-11-11,1,2,21,1,2014-06-30 00:00:00.000
4,112457891,adventure-works\rob0,Senior Tool Designer,1974-12-23,S,M,2007-12-05,0,48,80,1,2014-06-30 00:00:00.000
5,695256908,adventure-works\gail0,Design Engineer,1952-09-27,M,F,2008-01-06,1,5,22,1,2014-06-30 00:00:00.000
6,998320692,adventure-works\jossef0,Design Engineer,1959-03-11,M,M,2008-01-24,1,6,23,1,2014-06-30 00:00:00.000
7,134969118,adventure-works\dylan0,Research and Development Manager,1987-02-24,M,M,2009-02-08,1,61,50,1,2014-06-30 00:00:00.000
8,811994146,adventure-works\diane1,Research and Development Engineer,1986-06-05,S,F,2008-12-29,1,62,51,1,2014-06-30 00:00:00.000
9,658797903,adventure-works\gigi0,Research and Development Engineer,1979-01-21,M,F,2009-01-16,1,63,51,1,2014-06-30 00:00:00.000
10,879342154,adventure-works\michael6,Research and Development Manager,1984-11-30,M,M,2009-05-03,1,16,64,1,2014-06-30 00:00:00.000
11,974026903,adventure-works\ovidiu0,Senior Tool Designer,1978-01-17,S,M,2010-12-05,0,7,23,1,2014-06-30 00:00:00.000
12,480168528,adventure-works\thierry0,Tool Designer,1959-07-29,M,M,2007-12-11,0,9,24,1,2014-06-30 00:00:00.000
13,486228782,adventure-works\janice0,Tool Designer,1989-05-28,M,F,2010-12-23,0,8,24,1,2014-06-30 00:00:00.000
14,42487730,adventure-works\michael8,Senior Design Engineer,1979-06-16,S,M,2010-12-30,1,3,21,1,2014-06-30 00:00:00.000
15,56920285,adventure-works\sharon0,Design Engineer,1961-05-02,M,F,2011-01-18,1,4,22,1,2014-06-30 00:00:00.000
16,24756624,adventure-works\david0,Marketing Manager,1975-03-19,S,M,2007-12-20,1,40,40,1,2014-06-30 00:00:00.000
